text,con1,con2,con3,con4,con5,lib1,lib2,lib3,lib4,lib5
"@maureendowd The same way you consistently ""mauled"" Hillary Clinton.",0,1,0,1,0,1,1,0,0,0
"@maureendowd Thanks, Maureen. Your clarity will, hopefully, light the road for those on high beams that can’t see the way for the mist.",0,0,0,0,0,1,0,0,0,0
"@peterdaou @maureendowd Smart Women do not to read Dowd, she has been riding on her Pulitzer for years. She is a disgrace and only preaches to her own choir @nytimes this is part of your problem, you only talk to yourselves, you have abandoned your readers.",1,1,0,1,1,1,1,1,0,0
".@MaureenDowd is laser-like in her deconstruction of Scott Morrison in ""Trump Finally Makes a Friend"" https://t.co/2iIXy8emFn There are 2 errors though.  He is not the Prime Minister but #PrimeMuppet &amp; his nickname is #ScumMo or #SloMo #auspol",1,1,0,1,0,0,1,0,0,0
@nytimes @maureendowd 60 million americans believe     30000 emails self washed themselves,1,1,0,1,0,1,1,0,1,0
We haven’t forgotten our history. But we still seem doomed to repeat it. @maureendowd https://t.co/HUHhhAbuyF,1,0,0,0,0,1,1,0,0,0
@maureendowd It's painful to watch Anita Hill been judged by disgusting old white men. We as a woman should stick together to fight the injustice 👊🏻🌹🇺🇸💃🏻,1,1,1,1,1,1,1,0,0,1
"@maureendowd When Kathleen Willey claimed Bill Clinton groped her in the Oval Office did that allegation make you ""sick to your stomach""?  Or did you not believe her? Oh, that's right Bill Clinton was a Democrat.",1,1,0,1,1,1,1,0,1,1
"@maureendowd If the Republicans on the Judiciary Committee have their way, we may instead see them sitting back smugly and cowardly, as a female prosecutor grills Dr. Ford, hoping that this manipulation has fooled Americans into thinking that they have changed since Anita Hill.",1,1,0,1,1,0,1,0,0,0
"@maureendowd You make me sick with your comments about Judge Kavanaugh. Attacks on this fine man and judge are merely b.s. attempts by Democrats to delay or defeat his nomination. ""Accuser"" Ford won't testify under oath because she would be committing perjury. No ""Witnesses"".",1,1,1,1,1,1,1,1,1,1
@maureendowd Unfortunately (R) on the senate judiciary committee have forgotten that neither empathy and sympathy is valid only when used simultaneously.,1,0,0,0,0,1,1,0,0,0
"Oh please @maureendowd “The feminists were less concerned with Hill's humiliation than with using her as a bludgeon to block a justice who would be devastating on women's rights” Are you sick to your stomach? Yes, .MeToo https://t.co/JeCj1ZkyqQ via @timesunion",0,1,0,1,1,1,1,0,0,1
"@maureendowd Hey!!!! It's not a trial, it's a job interview.....  Also don't recall GOP conservatives being keen on rights when it comes to work.....",1,0,0,1,1,1,1,0,0,0
Meanwhile - of course - @maureendowd doesn't even mention Ellison!,1,0,0,0,1,0,1,0,0,0
@maureendowd @MalcolmNance Thanks for giving us George W Bush with your Al Gore lies on claims he invented the internet and your anti-Hillary screed.  Your little derelict op-ed column has helped get this country where its’ been for the past 18 years. Tired of winning Maureen?!,1,1,0,0,1,1,1,0,1,1
"@maureendowd @maggieNYT Weak, Maureen, weak. After all these years.",1,1,0,0,0,1,1,1,1,0
"@nytimes @maureendowd Typical liberal thinking
#LiberalismIsADesease",1,1,0,0,0,1,1,0,1,0
@maureendowd @maggieNYT Could you give an example of a hard question that may be poised to Dr. Ford that you think doesn't fall under the category of 'mauling' her?,0,0,0,0,0,1,1,0,0,0
"I believe @maureendowd just compared Australians to dogs. 

https://t.co/9kj5vb9Vfp",1,0,0,1,0,0,1,0,0,0
@peterdaou @maureendowd I canceled my subscription to NYT because of Dowd. She's been slimming the Clinton for Decades. She's just a bitter b_t_h.,1,1,1,1,1,1,1,1,1,1
"@maureendowd This is powerful, and I hope Dr Ford knows that there are many woman that will completely support her and believe her.",1,0,0,0,0,1,0,0,0,0
@maureendowd Desire how you’ve been pleading with readers to realize how the GOP uses every little trick to marginalize women. How you cautioned us to not drink the anti-Hillary KoolAid because it was tired old patriarchy,0,0,0,1,0,1,1,0,0,0
"@bairdjulia @maureendowd As someone who has only recently had my (latent) Australian citizenship confirmed (born in PNG) - this is embarrassing, and makes us look like parochial laughing stocks in the urbane and wider world. I think I’m going back to identifying as a New Zealander...",0,1,0,1,1,1,1,0,0,0
"@maureendowd apparently she's still looking for a collaborator to support her story. Can you cover for her? I think it's up to $50,000.",1,0,1,1,0,0,1,0,0,0
"If you want a study into the sheer depth of the ideological prejudices and unreliability of The New York Times look no further than @maureendowd's fantasy reports, writes Paul Kelly  https://t.co/aXxMHdoGxH",1,0,0,0,0,1,0,0,1,0
"We haven't had to wait twenty-seven years to watch women get mauled, @maureendowd, we've been able to read your shitty misogynistic columns in the meantime. https://t.co/mdClXFwKFc",1,1,1,1,1,1,1,1,1,0
@peterdaou @maureendowd I’ve refused to read her since the election.,0,0,1,0,0,1,1,0,1,0
"the real vomit inducing truth @maureendowd is the message being sent

women blaming conservative women are to be believed
women blaming liberal men are to be ignored",1,0,0,1,0,0,1,1,1,0
"@maureendowd Great column , vintage MD...but we shall see if we “are doomed to repeat it”...I think Dr BF will become the Rosa Parks of this moment and our age...stay tuned and keep the pressure on",1,0,0,0,0,1,0,0,0,0
"@maureendowd Right, Maureen, Dem women are so classy and wonderful, especially, those in https://t.co/zO2we2EpMZ",0,0,0,0,0,1,1,0,0,0
@maureendowd what happened to innocent until proven guilty?,1,0,0,0,0,1,1,0,0,0
@maureendowd Thank you for writing this column - it was an amazing read.,0,0,0,0,0,1,0,0,0,0
⁦@maureendowd⁩ As good as always #MeToo  https://t.co/dVy46ggDGP,0,0,0,0,0,0,0,0,0,0
@maureendowd Thank you,1,0,0,0,0,0,0,0,0,0
@peterdaou @maureendowd Maureen who ???,1,0,0,0,0,0,1,0,0,0
"@nytimes @maureendowd Part of MAGA?  Go back to when women were ‘confused’ , ‘emotional’ , just put up with?",1,0,0,1,1,0,1,0,1,1
"In Opinion 
Opinion columnist @MaureenDowd writes, ""I most dread the rhyming history we are plunged into now: the merciless pummeling of a woman who dares to obstruct the glide path of a conservative Supreme Court nominee."" https://t.co/3wcEnm05zp",1,0,1,1,0,1,0,0,0,0
"Weinstein
Weiner
Ted Kennedy
Bill Clinton
Ellison
Moonves
Rose
Lauer
Halperin
Ailes

and @maureendowd mentions FOX and Ted Kennedy

vomit inducing is liberal women that refuse to look at the problem with liberal men",1,0,1,1,0,0,1,0,0,0
Sick to Your Stomach? #MeToo https://t.co/sQR1YKw9Az @maureendowd,1,0,0,0,1,0,0,0,0,0
@nytimes @maureendowd AND WHAT ABOUT THE WOMAN WHO DARES TO OBSTRUCT THE GLIDE PATH OF A LIBERAL POLITICIAN #KeithEllison  Do you Maureen Dowd approve of politics and media controlling women's RIGHTS? Remember your RIGHTS could be next.,1,0,0,1,1,0,1,0,0,1
"@maureendowd Thank you, Maureen.  When did we meet?",1,0,0,0,0,1,0,0,0,0
.@maureendowd is #complicit in dragging women back through her relentless attacks on Hillary. Very sad that the @nytimes continues to give her a platform. https://t.co/8zPYIySHij,1,1,0,1,1,1,1,1,1,0
@nytimes @maureendowd @nytimes Your opinions are as worthless as your #fakenews.,1,1,0,1,1,0,1,1,1,0
@peterdaou @maureendowd Maureen is gross. Part of the what’s the difference club. The difference: we could have had a rational decent leader instead we have a traitor.,1,1,1,1,1,1,1,1,1,0
"@maureendowd You don't know and don't pretend you do. Even if true and if she would have come forward, he would have been tried as a juvenile and records would be sealed. That is what our country does to protect people. This is Salem all over again!",1,1,0,1,1,1,1,0,1,1
"yes @maureendowd I'm sick to my stomach too--sick that the Democrats are trying to smear an innocent man. oh &amp; btw: your assertion that ""Teddy Kennedy stayed mute"" during the Clarence Thomas hearings is as untrue as Christine Ford's accusations.
https://t.co/p7UL038pza",1,1,1,1,1,1,1,1,1,1
@maureendowd St. Christine really is demanding and absurd. She has the world’s weakest argument if we apply normal evidentiary standards. She's a terrible poster child whose lionization brands accusers &amp; sympathizers as unreasonable people whose claims should be met with great skepticism.,1,1,1,1,0,1,1,0,1,0
@maureendowd great article today but the Fox News enablers are facilitating this train wreck You need to focus on Pirro and her husbands connection as well as hers to Trump personally,1,1,0,0,1,0,1,1,0,1
"@tribelaw @MelissaF_ColaSC @maureendowd Just out of curiosity, how do you know so matter-of-factly that nothing memorable happened to her?",0,0,0,0,0,1,1,0,0,0
"@nytimes @maureendowd This is the American fundamentalist version of the Taliban patriarchy. Women are not to speak against men, and if they're sexually assaulted, stone HER to death. 
Sick of these dikheds.

#Kavanaugh",1,1,1,1,0,1,1,1,1,1
@tribelaw @MelissaF_ColaSC @maureendowd You would remember if your only guy friend left a gathering and you were alone with 3 women.  You would remember but keep on dreaming you got something.  Lol,0,0,1,1,0,1,1,0,1,0
@maureendowd I dunno. But you go ahead write another Hillary the hawk article.,0,0,1,1,0,1,1,0,0,0
@JMurray247 @nytimes @maureendowd Then why won’t they bring in the other guy in the room and have him testify under oath?  Why wouldn’t Kavanaugh ask for the FBI to investigate this?,0,0,0,1,0,0,0,0,1,0
I think @maureendowd should know that @ScottMorrisonMP has eloquently &amp; often reconciled his “Christian values and the role he plays in dooming children to offshore detention centers.” His success in ‘Stopping the people smugglers boats’ saved many children from death by drowning https://t.co/kVuj9qjU0s,1,1,1,0,0,1,1,0,0,0
@maureendowd Nice work &amp; excellent articulated points of faith based hypocrisy by this wannabe populist phoney @ScottMorrisonMP .. I always believe it's the unethical antics of #Trump that Aussie conservatives admire the most,1,1,0,1,1,1,1,0,1,0
@jeffreyjayson @KatDeclares @maureendowd she is incapable or reason or rational thought.   That makes coherent writing nearly impossible.,1,1,1,1,0,1,1,0,1,0
@maureendowd Mayella Ewell has finally found her voice in Maureen Dowd.,0,0,0,0,0,0,0,0,0,0
@maureendowd did the #DukeLax #UVAfraternity #SacredHeartUFootball men all lie about rape too? Tawana Brawley?,0,0,1,1,0,1,1,0,1,0
"@maureendowd @nytopinion Anita Hill 2.0 
the more things change the more they remain the same. this will hurt the GOP. possibly a fatal blow",0,1,0,0,0,0,0,0,0,1
@TerryHerber1 @nytimes @maureendowd You have no grounds for such a statement. Your opinion is irrelevant.,1,1,1,0,0,1,0,0,1,0
@maureendowd KEEP UP THE VALIANT WORK.,0,0,0,0,0,0,0,0,0,0
"@maureendowd @maggieNYT Because, if not, then you've answered your own question.",0,0,0,0,0,0,0,0,0,0
"@nytimes @maureendowd ""Merciless Pummeling"" = Senate willing to delay its business weeks to accommodate her evidence-free accusations.",0,0,1,0,0,1,1,0,1,0
"@maureendowd Wouldn’t be here if not for women like you, who have spent years helping a bunch of men like these.",0,0,1,0,1,0,1,1,1,1
"@maureendowd That’s why these cowards won’t ask the questions themselves in abdication of their responsibilities.   Her counsel must demand it.  They won’t subpoena Mark Judge, whose sad view of women is public record, and who is hiding. Wonder why he won’t be questioned?",1,1,1,1,0,1,1,1,1,0
@maureendowd @nytopinion Who’s fault is that?  They offered to take her testimony in private.,0,0,0,0,0,0,0,0,0,0
@nytimes @maureendowd She dared lie about a man attempting to rape her 36 years forever ruining his reputation. The accuser should be held accountable for their lies. Her own lifelong friend denies ever even meeting Kavanaugh. NYT admitting they tried to destroy an innocent man cuz he is an R,1,1,1,1,1,1,1,1,1,1
"@JoyceWhiteVance @maureendowd Q: Why do women constantly have to relitigate hard-won rights in this great country?
A:It's not because of the Democrats.",0,0,1,1,1,1,0,0,1,1
"@maureendowd Oh please, @maureendowd !! If the Dems are so concerned for this woman why was the accusation so late in the process. At least have the courage to call it a delay tactic.",1,1,1,1,0,1,1,1,1,0
"@maureendowd @maggieNYT let this anti-trump activist, Christine, through her dem donor lawyer, both controlled and manipulated by the once obstructionist now EVIL dems, tell her story. then vote and CONFIRM Brett. WINNING !!! MAGA it's happening !!",0,1,1,1,1,1,1,1,1,0
@maureendowd @maggieNYT Read your history on the hearings. There was absolutely no evidence against Justice Thomas then nor now! The same will be true for Justice Kavanaugh. Belief is based upon evidence. Guilt is too! You are turning our system of justice on its head! Truth matters!,0,0,0,1,0,1,1,0,1,0
"""Anita Hill was alone, in a hearing room full of Republican liars and Democratic cowards, getting ripped apart as 'a little bit nutty and a little bit slutty'"". Doomed to repeat history? Great piece from @maureendowd #Kavanaugh #ChristineBlaseyFord https://t.co/QDSVF9jwAm",1,1,0,0,0,0,1,1,0,1
"@maureendowd  of ""Donald the Dove, Hillary the Hawk"" fame should take a bow. Like, what was she expecting? Sick to Your Stomach? #MeToo https://t.co/4OUbElsH1s",1,1,0,1,0,1,1,0,1,1
"@maureendowd @maggieNYT Speaking of mauled, have you heard the one about Keith Ellison?",0,0,0,0,0,0,1,0,0,0
@peterdaou I wonder why @maureendowd hasn't covered Trump's sexual assault accusations or the @StormyDaniels scandal with the same fervor? 🙄,0,0,1,1,0,1,1,0,1,1
@maureendowd Mauled? Gender-bait much? Ford is bringing a damning accusation forward with scant evidence.  You bet she will be thoroughly cross-examined as she should!,1,1,1,1,0,1,1,0,1,1
@maureendowd Good column.,0,0,0,0,0,0,0,0,0,0
"@maureendowd @MalcolmNance To b honest that's all they can do to make themselves feel like real men, because these GOP male Politicians and this Adminstration has nothing really to offer women,they were evidently never taught to respect and appreciate women that made their very existence possible .",1,1,1,0,0,1,1,0,1,0
@nytimes @maureendowd He is good man this bitch has no proof,1,1,1,1,1,1,1,1,1,1
@brianstelter @maureendowd The American people are on to the Elite media and they dont pay any attention. CNN &amp; NYT are both failing and the only people who pay attention to figures in the elite media are other members of the elite media. A circular fire squad. Idiots!,1,1,1,1,1,1,1,0,1,1
"@JoyceWhiteVance @maureendowd For the women too young to remember and who have never known anything but freedom, please #VoteBlue.  Women fought long and hard for these rights and to have their voices heard.  Don’t let them take it away now.",0,1,0,0,0,0,0,1,0,0
"@maureendowd Wrong! President Trump has friends and supporters everywhere. Mean spirited crap, Maureen.",1,1,1,1,1,1,1,0,1,0
"@maureendowd Where u been Maureen. I hope u are safe &amp; well dear. The so-called party of religion &amp; family values are sold out. Satan rules them. They cut their noses off, to spite their faces!",1,1,1,1,0,1,1,0,1,0
"""Post #MeToo, the Republicans know they have to be more careful on the surface,"" writes @MaureenDowd. ""Their wet work to discredit Christine Blasey Ford will have to be outsourced and done mostly outside the hearing room."" https://t.co/rEQ3QYGWgS",0,0,0,0,0,0,0,1,0,0
@maureendowd Mauled by Republicans who've already said they've decided their vote regardless of her testimony.,1,0,0,1,0,0,1,0,0,0
AAP snapped pic of the Scott Morrison's 'I stopped these' trophy as referenced in the @maureendowd NYT piece https://t.co/K7S4kYRM3Q,0,0,0,0,0,0,0,0,0,0
"@FuckleyB @nytimes @maureendowd This,!  Add his other questionable actions (potential lying, stolen emails) as well as his attitude towards women combined maje the whole nomination sick.  This is supposed to be a judge at the highest level...",1,0,1,1,0,1,1,1,1,1
"@bosdad27 @maureendowd By tricks do you mean present a witness with relevant info about the nominee’s character, but not until the witness consented to come forward despite the inevitable backlash? Also you aren’t allowed to complain about process after Merrick Garland",0,0,1,1,0,1,1,1,0,0
"@maureendowd Had @SenFeinstein done the proper thing and handled the letter accordingly, this would have played out very differently. Blame the senator who employed a Chinese spy for 20 yrs while her husband made millions in China.",1,1,1,0,1,1,1,0,1,0
"@mvpizz @maureendowd @MalcolmNance Vote Democrat for sanity?  😂🤣 
You must be insane!",1,1,1,1,0,1,1,0,1,1
@maureendowd Probably we wouldn’t if you hadn’t maligned Obama and Clinton for years.,0,1,1,1,0,1,1,0,1,0
@maureendowd So very depressing.,0,0,0,0,0,0,0,0,0,0
@maureendowd Trump and his new bro should go to Antarctica. It's mostly white and very cold.,0,1,1,0,0,1,1,0,1,0
"@maureendowd As usual, @maureendowd nails it.",0,0,0,0,0,0,0,0,0,0
"@maureendowd - I tried to get through your BS column wailing about Dr. Ford being abused. Grassley has Ben over double backwards to accommodate her. All her witnesses say they know nothing about the ‘attack’ &amp; some don’t even know Kavanaugh. 
(1 of 2)",0,1,0,1,1,1,1,0,1,1
@maureendowd Nah. This is a stunt.,0,0,0,0,0,1,0,0,1,0
@maureendowd Is perjury a felony?,0,0,1,0,0,0,0,0,1,0
@maureendowd Slimy is a great adjective for Dutton. I hadn’t heard about Morrison’s model boat. That made me want to retch.,1,0,1,0,0,1,1,1,1,0
and no blame for Feinstein! @maureendowd,1,0,1,0,1,1,0,0,1,0
@drw1018 @maureendowd Who were the only ones aware of her disclosure and who actually benefited from leaking it? https://t.co/BclUyjiEZ5,0,0,0,0,0,0,0,0,0,0
"@bairdjulia @maureendowd I hope they both ""get it"" where it hurts.",1,1,1,1,0,1,1,0,1,1
@peterdaou @maureendowd She enables him and then pretends she doesn't!,1,1,1,1,1,1,1,0,1,0
"""Somewhere in the dim recesses of my mind, I can recall a time when the sight of that white dome thrilled me."" - @maureendowd &amp; I are #same on this - but I lost that thrill when those *hypocritical* men impeached Clinton.  https://t.co/MJl93O3ZgX",0,1,1,0,0,1,1,0,0,0
"""It is unnerving to think how far women have come, only to find ourselves dragged back to the same place,"" writes @MaureenDowd. https://t.co/gVN8cUm5ks",1,1,0,0,0,0,1,0,0,0
"@maureendowd She can't remember when or where it happened and two witnesses now corroborate Kavanaughs story. Why exactly do you believe her, Maureen?@nytimes (A rhetorical question, we know why).",0,0,1,1,0,1,0,0,0,0
@maureendowd Well it seems Maureen has the crystal ball to see the truth of the past and future.... bullshit.,1,0,1,1,0,1,1,0,1,0
@maureendowd Oh dear.  Morrison just went down another notch or two.,1,0,1,1,0,0,1,0,1,0
"@maureendowd The Republicans have not yet even met Ford but Maureen Dowd is comfortable in saying they will ""maul"" her. This is where we are at.",0,0,1,1,0,1,1,0,0,0
"@nytimes @maureendowd Oh Maureen, get real! Life is always a two way street. Women know how to use sex and their sexuality to abuse and manipulate men on a daily basis. Then if something goes wrong, or have later remorse for their actions, they cry rape,sexual assault, discrimination and the like!",1,1,1,1,1,1,1,1,1,1
"Meanwhile, Paul Kelly takes on @maureendowd and boy do we know who wins that rhetorical joust. (It's not Paul.) https://t.co/xqrNezuqOa",0,0,1,0,0,0,1,0,0,0
@nytopinion @leemeade77 @maureendowd No one reads her work anymore.,0,0,1,0,0,0,1,0,0,0
"@catheconnors @maureendowd @SenFeinstein Who cares if it was a political strategy or not (from either side). A lifetime appointment to the highest court! . If by any way shape or form you have a dirty secret it should be ousted and if you don’t, then you should oust yourself to prove it.  It’s that simple.",1,1,1,1,0,1,1,1,1,0
@maureendowd I read your article and i was wondering if you could explain 2 things for me. If Hill was so offended and hurt why did she follow Thomas around his entire career? All of the Dr's cited witnesses have refuted her claim?,0,1,1,1,0,1,0,0,0,0
"@nytimes @maureendowd Seems like the dude's the one getting mercilessly pummeled.

Maybe that's just because I've been watching CNN.",1,1,1,0,0,1,1,0,0,0
"@maureendowd There’s lots of issues but I’d focus on a Mark Judge subpoena. There’s literally no argument not to interview 1 of 3 people who saw it. You can’t say he said/she said if someone else saw it

Call the GOP insincere b/c mark my words, they know Judge will bring it all crashing down",0,0,1,0,0,1,0,0,0,0
"@wcjames63 @jeffreyjayson @maureendowd Oh Jeffery, William, and Caznack, too many words for you to understand? I made them go away so you need not let them trouble you anymore.  As for your well reasoned and rational replies... https://t.co/Gjigvk4qCT",1,0,1,0,0,1,1,0,0,0
@maureendowd @maggieNYT I'm hoping she shows up with attitude. https://t.co/5CDtgLgvok,0,0,0,0,0,0,1,0,0,0
"@maureendowd If you mean ""27 yrs later, we watch another Democrat smear campaign fall apart due to lack of even a shred of evidence"" then yes, you're right.",0,1,1,1,0,1,1,1,1,0
"@maureendowd Climbing out of a Black Hole takes more than hitting below the belt. Being sucked in to a Bottomless Pit requires a [soul] position of the unforgiving envy &amp; scorn of the Vaginal Diary so eloquently word smithed. For some it's Eternal Inheritance, others regretfully a Black Hole.",0,1,0,0,0,1,1,0,0,0
@maureendowd So far it seems like it will be an attempted mauling...although I certainly believed and supported Anita Hill...Dr. Ford seems like she will hold her own. I hope I'm not wrong because those old bastards are evil.,1,1,1,0,0,1,1,0,0,0
"@akfisherking @maureendowd I take comfort in the fact it was an internal party decision, and nothing to do with us voters. We're all pretty appalled and looking forward to voting the LNP out!",0,0,1,0,0,1,1,0,0,0
"@cipollonsky @jeffreyjayson @maureendowd You think you are any different than Dems.? lol You people are too funny! Most of you never had political views in your life. The ideology's of both parties are ruining this country. Bill Cosby has been charged, and found guilty of sexual misconduct from the 70's.",1,1,1,1,0,1,1,1,1,1
@maureendowd so their is no more presumption of innocence in your world.  Is that the world that you really want to live in....,1,1,1,1,0,1,1,0,1,0
@JoyceWhiteVance @maureendowd I think of my students who just presume they will get that management job or that promotion — and it’s heart warming that it’s possible — but seeing this may just remind them why we older women have the scars we have./2,0,0,0,0,0,1,1,0,0,0
"100 percent, absolutely right. They almost did it anyway. To console themselves they launched a 30 year war on Hillary Clinton, led by their star character assassin @maureendowd https://t.co/SFFP8hFIN1",0,0,1,1,0,1,1,0,1,0
"#WentWorthVotes is rapidly becoming a referendum on Turnbull’s dismissal AND on Morrison’s fitness for office. If I was @drkerrynphelps I’d letterbox every #WentworthVotes residence with the @maureendowd article - header VOTE 1 KERRYN PHELPS

https://t.co/O0dQpAAAfA https://t.co/sdqRGDtEys",0,0,1,0,0,1,1,0,0,0
@tribelaw @maureendowd The GOP attutide is that women are property and you can do what you want with property.,0,1,1,1,0,1,1,0,1,0
"@JoyceWhiteVance @maureendowd It’s a horrible journey, but I’m glad we’re on it.
Better to air it out and know where people stand.
All sorts of good will come out of this for our younger generation, they deserve better than this thats for sure.",1,0,1,0,0,1,1,0,0,0
@nytimes @maureendowd Welcome to conservative utopia.  Predictable by people who used their heads for thinking. I pity those who embraced and emboldened these monsters at any point in their journalistic careers.  They own this.  Each and every outrage they helped enable.,0,1,1,0,0,1,1,0,1,0
@karebear9691 @maureendowd Thank you very much for your written🖋perspective. Have you been able to decide on truth of Ms. Ford's naming Mr. Kavenaugh🇺🇸☕️,0,0,0,0,0,0,0,0,0,0
"@maureendowd the woman has zero credibility and a half baked tale, and is a pawn in a political game.   Nothing more.",1,1,1,1,0,1,1,1,1,0
"@maureendowd Maureen Dowd, the little plagiarist:
https://t.co/PTTxlxZKIO",1,1,1,1,0,1,1,0,1,0
@CovfefeUpInThis @tribelaw @maureendowd How about her 3 witnesses denying knowing Kavanagh and have no idea what she is talking about as in a party they say never attended or inappropriate touching-How’s that working out????,0,0,1,1,0,1,1,1,1,0
Sick to Your Stomach? #MeToo https://t.co/noVyQ7vQz2 @maureendowd,1,1,0,0,0,0,1,0,1,0
⁦@maureendowd⁩ Great Column We are doomed to repeat history.  https://t.co/aPvGd2WgeA,0,0,0,0,0,0,0,0,0,0
"@maureendowd thank you for your excellent column today in nyt.  Few are as aware of the indignity that happened then and what is going on now, thank you for your knowledge and compassion",0,0,0,0,0,0,0,0,0,0
@maureendowd https://t.co/ne9xKJSYL4,0,0,0,0,0,0,0,0,0,0
@nytimes @maureendowd Another lady crying for another lady,0,1,1,0,0,1,1,0,0,0
"@GldnHorde @peterdaou @maureendowd No, just smart women! That, of course, leaves the women of your party OUT!😂😂😜😉",1,1,1,1,0,1,1,0,1,0
@maureendowd Another conservative on the supreme court and so very young. Pres Trump will probably get another pick before too long. The courts will be jammed full of conservatives for generations to come. God Bless President Trump and the Republicans.,0,0,0,0,0,0,0,1,0,0
"""It is unnerving to think how far women have come, only to find ourselves dragged back to the same place.""—@maureendowd https://t.co/1loWyNVlV7 #StopKavanaugh #CancelKavanaugh #SaveSCOTUS #SaveOurDemocracy #WhatsAtStake https://t.co/TIYD7AyL5q",1,1,0,0,0,0,1,0,1,0
"@peterdaou @maureendowd The way Hillary was treated repeatedly is indicative of some of the sexism on display now and it affects men and women.  The shirts, chants, novelties on sale all part of the same issue. Never forget Citizens United Never Timid is an acronym for Hillary.",1,1,1,1,0,1,1,0,1,0
@maureendowd Those who will not learn are doomed to repeat. What significant changes were made 27 years ago to prevent a repeat? What changes will we make this time?,0,0,1,0,0,1,1,0,0,0
"1991 @maureendowd on Hill-Thomas hearings: ""The scalding contest was not only about race and sex, and women and men. It was about power, and who knows how to use it more effectively. The answer so far is, still, the Republicans."" And... https://t.co/VjCYtFbe8y",0,1,0,0,0,0,1,1,0,0
@maureendowd Bravo. Say it loudly. Shout it from the rooftops.,0,0,0,0,0,0,0,0,0,0
@maureendowd True dat,0,0,0,0,0,0,0,0,0,0
"@catheconnors @maureendowd @SenFeinstein Lol. Oh lord woman - this guy is dirty on so many levels, a political operative for decades, with more care for his own ambition than the country. The system, as fucked as it is - sometimes actually works. You know it’s the truth - so you gonna bury it because you don’t like it?",0,1,1,1,1,1,1,1,1,1
@JMurray247 @nytimes @maureendowd And have notes from counseling sessions 6 years ago. Pesky facts.,0,0,1,1,0,1,0,0,0,0
@jeffreyjayson @maureendowd Open your eyes and ears.  Twitter is alight with all the reasons.,0,0,1,0,0,1,0,0,0,0
"Sick to Your Stomach? #MeToo https://t.co/iDyoZVPVED
Great piece by @MaureenDowd",1,0,0,0,0,0,0,0,1,0
@maureendowd Let’s hope we’ve learned something since then!!,0,0,0,0,0,0,0,0,0,0
@peterdaou @maureendowd MoDo is well past her sell by date.,1,0,1,1,0,0,1,0,1,0
@brianstelter @maureendowd her take was a treat...,0,0,0,0,0,0,0,0,0,0
@maureendowd You know Ms. Dowd- you and your women hating ways has never helped the #metoo movement. You have made a lot of money and gotten a lot of attention on the back of denigrating Hillary Clinton. In 2008 there were stretches where 10 out of 12 of your columns were bashing her!,1,1,1,1,0,1,1,0,1,1
@maureendowd The Dems are responsible for this circus.,1,1,1,1,0,1,1,0,1,0
"@maureendowd Yes, they hv every intention to ""Anita Hill"" Dr. Ford. Except this time it wont be quite the same. These old gaurds will get mauled in the process. Which is why they want to contract out their required govt. role to a female lawyer. Ms. Ford is not going to fall for that!",0,0,1,1,0,1,1,1,0,1
.@maureendowd: Sick to Your Stomach? #MeToo https://t.co/yrrmOLzgyA,1,1,0,0,0,0,1,0,1,0
@maureendowd What a friend to invite to Mar-a-lago? Or a weekend at the White House?,0,0,1,1,0,0,0,0,1,0
"@maureendowd This is the fool who brought a lump of coal to parliament, to show his contempt for science.",1,1,1,1,0,1,1,0,1,0
@Bbbmckeon @maureendowd A link to a Tom Cotton tweet? No wonder you’re so confused...that’s NOT a news source.,0,1,1,1,0,1,1,0,1,0
"@bairdjulia @maureendowd 😂😂. Last thing most Australians want to hear come from your gob. The far right of the Libs play from The Nutters hand book, which is a disgrace.",1,1,1,1,0,1,1,0,1,0
@maureendowd Excuse me I don't think any of them represented very well dams or Republicans,0,0,1,0,0,0,0,0,0,0
@bairdjulia @maureendowd We must remove the LNP if we want to survive!,0,1,0,0,0,1,1,0,0,0
".@maureendowd 1991 column in NYT: ""Once again women and men are watching something unfold through absolutely different sets of eyes and different sets of experiences,"" said Ann Lewis, a former adviser to Democrats in Washington https://t.co/szY8f7huqs",0,0,0,0,0,0,1,0,0,0
"@nytimes @maureendowd What about Clinton , what about Ellison , crickets",0,0,1,1,0,1,1,0,1,0
Sick to Your Stomach? #MeToo https://t.co/JaMDnTHVWK @maureendowd,1,1,0,0,0,0,0,0,1,0
@bairdjulia @maureendowd If he comes back from a meeting with POTUS sporting a deep tan we'll know were his head has been.,0,0,1,1,0,1,1,0,1,0
"@nytimes @maureendowd Just as Dowd “mercilessly pummeled” Hillary Clinton over using a private email server, week after week after week...",0,1,1,1,0,1,1,1,1,0
"@maureendowd I read the Times every day but this is the only time I was motivated to say something, that your ""Sick to your Stomach"" piece was the clearest, strongest, and most important essay about our fraught condition in the USA I have read. Thanks, RW",0,1,0,1,0,0,0,0,0,0
@peterdaou @maureendowd Did HRC vote for war and push regime change in Libya? Yes or no? Did 25% of her supporters vote for McCain  instead of Obama? Yes or no? Will you ever make your point without acknowledging how HRC made mistakes?  Yes or no?,1,0,1,1,0,1,1,0,1,0
@maureendowd I doubt this pack of old white fossils will come out on top this time. They might still sneak Kavanaugh through but the stench will pervade the midterms and 2020 elections as I expect they know. I imagine they’re chugging down the Pepto-Bismol like it’s going out of style.,1,1,1,1,0,1,1,0,0,0
